ts_code,name,report_date,org_name,author_name,rating,rating_label,tp_low,tp_high,source_file,eps_y1,eps_y1_year,pe_y1,eps_y2,eps_y2_year,pe_y2,eps_y3,eps_y3_year,pe_y3
000001.SZ,平安银行,2026-04-27,中信证券,"肖斐斐,林楠",增持,Positive,15.0,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000001_SZ_20260427_中信证券_平安银行2026年一季报点评_营收利润双增.md,2.29,2026.0,5.07,2.43,2027.0,4.72,2.6,2028.0,4.4
000001.SZ,平安银行,2026-04-27,华创证券,"林宛慧,徐康",推荐,Positive,15.09,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000001_SZ_20260427_华创证券_平安银行2026年一季报点评_息差企稳_非息亮眼_营收业绩增.md,2.21,2026.0,5.07,2.21,2027.0,5.07,2.23,2028.0,5.02
000001.SZ,平安银行,2026-04-28,国海证券,"林加力,徐凝碧",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000001_SZ_20260428_国海证券_平安银行2026年一季报点评_营收利润恢复双增_中收表现亮眼.md,2.27,2026.0,5.46,2.38,2027.0,5.18,2.5,2028.0,4.93
000001.SZ,平安银行,2026-05-09,国盛证券,"刘斐然,朱广越",买入,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000001_SZ_20260509_国盛证券_平安银行2026一季报点评_营收业绩增速均转正_底部位置确立.md,2.2,2026.0,5.14,2.22,2027.0,5.09,2.27,2028.0,4.99
000001.SZ,平安银行,2026-05-12,摩根大通证券,"Katherine Lei,Peter Zhang,Lincoln Yu,陈昊旻",Neutral,Neutral,11.2,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000001_SZ_20260512_摩根大通证券_Ping_An_Bank_A_1Q26_briefing_t.md,,,,,,,,,
000002.SZ,万科A,2026-04-02,长江证券,"刘义,薛梦莹",增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000002_SZ_20260402_长江证券_万科A2025年报点评_攻坚化险_稳筑经营底盘.md,0.48,2026.0,,0.28,2027.0,,0.15,2028.0,
000002.SZ,万科A,2026-04-07,招商证券,"李盛天,赵可",增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000002_SZ_20260407_招商证券_万科A_25年业绩亏损扩大_关注债务长效化解方案推动进程.md,2.6,2026.0,,1.76,2027.0,,1.18,2028.0,
000002.SZ,万科A,2026-04-09,国泰海通,"涂力磊,谢皓宇,陈昭颖",中性,Neutral,4.07,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000002_SZ_20260409_国泰海通_万科A2025年年报点评_砥砺前行_推动化险.md,1.65,2026.0,,1.1,2027.0,,0.02,2028.0,174.7
000002.SZ,万科A,2026-05-13,光大证券,何缅南,中性,Neutral,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000002_SZ_20260513_光大证券_万科A万科动态跟踪_销售规模持续下滑_大额减值加速出清.md,3.43,2026.0,,2.34,2027.0,,1.51,2028.0,
000002.SZ,万科A,2026-05-14,长江证券,"刘义,薛梦莹",增持,Positive,,,/Users/apple/PycharmProjects/PythonProject12/Fin-RAG-Knowledge-Base/data/processed/markdown/rc_000002_SZ_20260514_长江证券_万科A_2026Q1点评_业绩压力持续释放_资金安全仍是核心.md,2.09,2026.0,,1.3,2027.0,,0.95,2028.0,
